pkt_num,type
167,W/I Cluster
167,W/I Cluster
167,W/I Cluster
167,W/I Cluster
167,W/I Cluster
167,W/I Cluster
167,W/I Cluster
167,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
27,W/I Cluster
27,W/I Cluster
27,W/I Cluster
27,W/I Cluster
27,W/I Cluster
27,W/I Cluster
27,W/I Cluster
27,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
8,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
9,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
6,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
5,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
4,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
7,W/I Cluster
8193,W/O Cluster
8193,W/O Cluster
8193,W/O Cluster
8193,W/O Cluster
8193,W/O Cluster
8193,W/O Cluster
8193,W/O Cluster
8193,W/O Cluster
372,W/O Cluster
372,W/O Cluster
372,W/O Cluster
372,W/O Cluster
372,W/O Cluster
372,W/O Cluster
372,W/O Cluster
372,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
101,W/O Cluster
101,W/O Cluster
101,W/O Cluster
101,W/O Cluster
101,W/O Cluster
101,W/O Cluster
101,W/O Cluster
101,W/O Cluster
10,W/O Cluster
10,W/O Cluster
10,W/O Cluster
10,W/O Cluster
10,W/O Cluster
10,W/O Cluster
10,W/O Cluster
10,W/O Cluster
283,W/O Cluster
283,W/O Cluster
283,W/O Cluster
283,W/O Cluster
283,W/O Cluster
283,W/O Cluster
283,W/O Cluster
283,W/O Cluster
16,W/O Cluster
16,W/O Cluster
16,W/O Cluster
16,W/O Cluster
16,W/O Cluster
16,W/O Cluster
16,W/O Cluster
16,W/O Cluster
104,W/O Cluster
104,W/O Cluster
104,W/O Cluster
104,W/O Cluster
104,W/O Cluster
104,W/O Cluster
104,W/O Cluster
104,W/O Cluster
105,W/O Cluster
105,W/O Cluster
105,W/O Cluster
105,W/O Cluster
105,W/O Cluster
105,W/O Cluster
105,W/O Cluster
105,W/O Cluster
190,W/O Cluster
190,W/O Cluster
190,W/O Cluster
190,W/O Cluster
190,W/O Cluster
190,W/O Cluster
190,W/O Cluster
190,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
367,W/O Cluster
367,W/O Cluster
367,W/O Cluster
367,W/O Cluster
367,W/O Cluster
367,W/O Cluster
367,W/O Cluster
367,W/O Cluster
189,W/O Cluster
189,W/O Cluster
189,W/O Cluster
189,W/O Cluster
189,W/O Cluster
189,W/O Cluster
189,W/O Cluster
189,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
188,W/O Cluster
188,W/O Cluster
188,W/O Cluster
188,W/O Cluster
188,W/O Cluster
188,W/O Cluster
188,W/O Cluster
188,W/O Cluster
375,W/O Cluster
375,W/O Cluster
375,W/O Cluster
375,W/O Cluster
375,W/O Cluster
375,W/O Cluster
375,W/O Cluster
375,W/O Cluster
368,W/O Cluster
368,W/O Cluster
368,W/O Cluster
368,W/O Cluster
368,W/O Cluster
368,W/O Cluster
368,W/O Cluster
368,W/O Cluster
22,W/O Cluster
22,W/O Cluster
22,W/O Cluster
22,W/O Cluster
22,W/O Cluster
22,W/O Cluster
22,W/O Cluster
22,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
15,W/O Cluster
15,W/O Cluster
15,W/O Cluster
15,W/O Cluster
15,W/O Cluster
15,W/O Cluster
15,W/O Cluster
15,W/O Cluster
277,W/O Cluster
277,W/O Cluster
277,W/O Cluster
277,W/O Cluster
277,W/O Cluster
277,W/O Cluster
277,W/O Cluster
277,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
95,W/O Cluster
95,W/O Cluster
95,W/O Cluster
95,W/O Cluster
95,W/O Cluster
95,W/O Cluster
95,W/O Cluster
95,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
1193,W/O Cluster
1193,W/O Cluster
1193,W/O Cluster
1193,W/O Cluster
1193,W/O Cluster
1193,W/O Cluster
1193,W/O Cluster
1193,W/O Cluster
372,W/O Cluster
372,W/O Cluster
372,W/O Cluster
372,W/O Cluster
372,W/O Cluster
372,W/O Cluster
372,W/O Cluster
372,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
101,W/O Cluster
101,W/O Cluster
101,W/O Cluster
101,W/O Cluster
101,W/O Cluster
101,W/O Cluster
101,W/O Cluster
101,W/O Cluster
10,W/O Cluster
10,W/O Cluster
10,W/O Cluster
10,W/O Cluster
10,W/O Cluster
10,W/O Cluster
10,W/O Cluster
10,W/O Cluster
283,W/O Cluster
283,W/O Cluster
283,W/O Cluster
283,W/O Cluster
283,W/O Cluster
283,W/O Cluster
283,W/O Cluster
283,W/O Cluster
16,W/O Cluster
16,W/O Cluster
16,W/O Cluster
16,W/O Cluster
16,W/O Cluster
16,W/O Cluster
16,W/O Cluster
16,W/O Cluster
104,W/O Cluster
104,W/O Cluster
104,W/O Cluster
104,W/O Cluster
104,W/O Cluster
104,W/O Cluster
104,W/O Cluster
104,W/O Cluster
105,W/O Cluster
105,W/O Cluster
105,W/O Cluster
105,W/O Cluster
105,W/O Cluster
105,W/O Cluster
105,W/O Cluster
105,W/O Cluster
190,W/O Cluster
190,W/O Cluster
190,W/O Cluster
190,W/O Cluster
190,W/O Cluster
190,W/O Cluster
190,W/O Cluster
190,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
367,W/O Cluster
367,W/O Cluster
367,W/O Cluster
367,W/O Cluster
367,W/O Cluster
367,W/O Cluster
367,W/O Cluster
367,W/O Cluster
189,W/O Cluster
189,W/O Cluster
189,W/O Cluster
189,W/O Cluster
189,W/O Cluster
189,W/O Cluster
189,W/O Cluster
189,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
188,W/O Cluster
188,W/O Cluster
188,W/O Cluster
188,W/O Cluster
188,W/O Cluster
188,W/O Cluster
188,W/O Cluster
188,W/O Cluster
375,W/O Cluster
375,W/O Cluster
375,W/O Cluster
375,W/O Cluster
375,W/O Cluster
375,W/O Cluster
375,W/O Cluster
375,W/O Cluster
368,W/O Cluster
368,W/O Cluster
368,W/O Cluster
368,W/O Cluster
368,W/O Cluster
368,W/O Cluster
368,W/O Cluster
368,W/O Cluster
22,W/O Cluster
22,W/O Cluster
22,W/O Cluster
22,W/O Cluster
22,W/O Cluster
22,W/O Cluster
22,W/O Cluster
22,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
282,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
13,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
12,W/O Cluster
15,W/O Cluster
15,W/O Cluster
15,W/O Cluster
15,W/O Cluster
15,W/O Cluster
15,W/O Cluster
15,W/O Cluster
15,W/O Cluster
277,W/O Cluster
277,W/O Cluster
277,W/O Cluster
277,W/O Cluster
277,W/O Cluster
277,W/O Cluster
277,W/O Cluster
277,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
11,W/O Cluster
95,W/O Cluster
95,W/O Cluster
95,W/O Cluster
95,W/O Cluster
95,W/O Cluster
95,W/O Cluster
95,W/O Cluster
95,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
24,W/O Cluster
8193,default
8193,default
8193,default
8193,default
8193,default
8193,default
8193,default
8193,default
380,default
380,default
380,default
380,default
380,default
380,default
380,default
380,default
20,default
20,default
20,default
20,default
20,default
20,default
20,default
20,default
19,default
19,default
19,default
19,default
19,default
19,default
19,default
19,default
109,default
109,default
109,default
109,default
109,default
109,default
109,default
109,default
18,default
18,default
18,default
18,default
18,default
18,default
18,default
18,default
291,default
291,default
291,default
291,default
291,default
291,default
291,default
291,default
24,default
24,default
24,default
24,default
24,default
24,default
24,default
24,default
112,default
112,default
112,default
112,default
112,default
112,default
112,default
112,default
113,default
113,default
113,default
113,default
113,default
113,default
113,default
113,default
198,default
198,default
198,default
198,default
198,default
198,default
198,default
198,default
20,default
20,default
20,default
20,default
20,default
20,default
20,default
20,default
21,default
21,default
21,default
21,default
21,default
21,default
21,default
21,default
375,default
375,default
375,default
375,default
375,default
375,default
375,default
375,default
197,default
197,default
197,default
197,default
197,default
197,default
197,default
197,default
19,default
19,default
19,default
19,default
19,default
19,default
19,default
19,default
196,default
196,default
196,default
196,default
196,default
196,default
196,default
196,default
383,default
383,default
383,default
383,default
383,default
383,default
383,default
383,default
376,default
376,default
376,default
376,default
376,default
376,default
376,default
376,default
30,default
30,default
30,default
30,default
30,default
30,default
30,default
30,default
20,default
20,default
20,default
20,default
20,default
20,default
20,default
20,default
290,default
290,default
290,default
290,default
290,default
290,default
290,default
290,default
19,default
19,default
19,default
19,default
19,default
19,default
19,default
19,default
32,default
32,default
32,default
32,default
32,default
32,default
32,default
32,default
290,default
290,default
290,default
290,default
290,default
290,default
290,default
290,default
21,default
21,default
21,default
21,default
21,default
21,default
21,default
21,default
20,default
20,default
20,default
20,default
20,default
20,default
20,default
20,default
23,default
23,default
23,default
23,default
23,default
23,default
23,default
23,default
285,default
285,default
285,default
285,default
285,default
285,default
285,default
285,default
19,default
19,default
19,default
19,default
19,default
19,default
19,default
19,default
103,default
103,default
103,default
103,default
103,default
103,default
103,default
103,default
32,default
32,default
32,default
32,default
32,default
32,default
32,default
32,default
1193,default
1193,default
1193,default
1193,default
1193,default
1193,default
1193,default
1193,default
373,default
373,default
373,default
373,default
373,default
373,default
373,default
373,default
13,default
13,default
13,default
13,default
13,default
13,default
13,default
13,default
12,default
12,default
12,default
12,default
12,default
12,default
12,default
12,default
102,default
102,default
102,default
102,default
102,default
102,default
102,default
102,default
11,default
11,default
11,default
11,default
11,default
11,default
11,default
11,default
284,default
284,default
284,default
284,default
284,default
284,default
284,default
284,default
17,default
17,default
17,default
17,default
17,default
17,default
17,default
17,default
105,default
105,default
105,default
105,default
105,default
105,default
105,default
105,default
106,default
106,default
106,default
106,default
106,default
106,default
106,default
106,default
191,default
191,default
191,default
191,default
191,default
191,default
191,default
191,default
13,default
13,default
13,default
13,default
13,default
13,default
13,default
13,default
14,default
14,default
14,default
14,default
14,default
14,default
14,default
14,default
368,default
368,default
368,default
368,default
368,default
368,default
368,default
368,default
190,default
190,default
190,default
190,default
190,default
190,default
190,default
190,default
12,default
12,default
12,default
12,default
12,default
12,default
12,default
12,default
189,default
189,default
189,default
189,default
189,default
189,default
189,default
189,default
376,default
376,default
376,default
376,default
376,default
376,default
376,default
376,default
369,default
369,default
369,default
369,default
369,default
369,default
369,default
369,default
23,default
23,default
23,default
23,default
23,default
23,default
23,default
23,default
13,default
13,default
13,default
13,default
13,default
13,default
13,default
13,default
283,default
283,default
283,default
283,default
283,default
283,default
283,default
283,default
12,default
12,default
12,default
12,default
12,default
12,default
12,default
12,default
25,default
25,default
25,default
25,default
25,default
25,default
25,default
25,default
283,default
283,default
283,default
283,default
283,default
283,default
283,default
283,default
14,default
14,default
14,default
14,default
14,default
14,default
14,default
14,default
13,default
13,default
13,default
13,default
13,default
13,default
13,default
13,default
16,default
16,default
16,default
16,default
16,default
16,default
16,default
16,default
278,default
278,default
278,default
278,default
278,default
278,default
278,default
278,default
12,default
12,default
12,default
12,default
12,default
12,default
12,default
12,default
96,default
96,default
96,default
96,default
96,default
96,default
96,default
96,default
25,default
25,default
25,default
25,default
25,default
25,default
25,default
25,default
